prodcode,gemscriptcode,productname,drugsubstance,strength,formulation,route
15014,49052020,Distaquaine v-k 125mg/5ml Liquid (Dista Products Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
15354,72684020,Procaine benzylpenicillin with benzylpenicillin sodium injection,Benzylpenicillin Sodium/Procaine Benzylpenicillin,,Injection,
16100,80590020,Benzylpenicillin 1.2g powder for solution for injection vials,Benzylpenicillin sodium,1.2gram,Powder for solution for injection,Intravenous
16683,79741020,Benzylpenicillin 125mg/5ml oral solution,Benzylpenicillin Potassium,125mg/5ml,Syrup,Oral
17155,64119020,Benzathine penicillin 115mg/ml drops,Benzathine Benzylpenicillin,115mg/ml,Drops,Oral
17690,58700020,Penidural Liquid (Wyeth Pharmaceuticals),Benzathine Benzylpenicillin,,Liquid,Oral
18191,89010020,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free,Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
18309,49051020,Distaquaine v-k 250mg Tablet (Dista Products Ltd),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
18935,58701020,Penidural Drops (Wyeth Pharmaceuticals),Benzathine Benzylpenicillin,,Drops,Oral
19155,54298020,Phenoxymethylpenicillin 250mg tablets (IVAX Pharmaceuticals UK Ltd),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
19286,48487020,Broxil 250mg Capsule (Beecham Research Laboratories),Phenethicillin Sodium,250mg,Capsule,Oral
19895,48417020,Bicillin Injection (Yamanouchi Pharma Ltd),Benzylpenicillin Sodium/Procaine Benzylpenicillin,,Injection,
21042,79740020,Benzylpeniciilin 250mg tablets,Benzylpenicillin Potassium,250mg,Tablets,Oral
21405,89014020,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free,Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
21433,65644020,Phenethicillin 250mg capsule,Phenethicillin Sodium,250mg,Capsules,Oral
21443,48488020,Broxil 125mg/5ml Oral solution (Beecham Research Laboratories),Phenethicillin Sodium,125mg/5ml,Oral Solution,Oral
21445,65645020,Phenethicillin 125mg/5ml oral solution,Phenethicillin Sodium,125mg/5ml,Syrup,Oral
22010,57654020,Apsin vk 250mg/5ml Oral solution (Approved Prescription Services Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
22179,48803020,Crystapen g 250mg Tablet (Glaxo Laboratories Ltd),Benzylpenicillin Potassium,250mg,Tablet,Oral
22808,74134020,Procaine benzylpenicillin injection,Procaine Benzylpenicillin,,Injection,
23000,64120020,Benzathine penicillin 229mg/ml injection,Benzathine Benzylpenicillin,229mg/ml,Injection,
23776,70678020,Benzylpenicillin 3g/vial injection,Benzylpenicillin Sodium,3g/vial,Injection,
25228,79742020,Benzylpeniciilin 250mg/5ml oral solution,Benzylpenicillin Potassium,250mg/5ml,Syrup,Oral
25293,57649020,Apsin vk 250mg Tablet (Approved Prescription Services Ltd),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
25532,57542020,Crystapen 1200mg Powder for solution for injection (Britannia Pharmaceuticals Ltd),Benzylpenicillin sodium,1.2gram,Powder for solution for injection,Intravenous
25694,61811020,Penicillin VK 250mg Tablet (Kent Pharmaceuticals Ltd),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
26215,65539020,Stabilin V-K 250mg Tablet (Knoll Ltd),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
26225,65544020,Stabilin V-K 250mg/5ml Oral solution (Knoll Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
26659,49055020,Distaquaine v-k 250mg/5ml Liquid (Dista Products Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
29377,64118020,Benzathine peniciilin 229mg/5ml suspension,Benzathine Benzylpenicillin,229mg/5ml,Suspension,Oral
29805,80589020,Benzylpenicllin 6g/vial injection,Benzylpenicillin Sodium,6g/vial,Injection,
30099,72714020,Benzylpenicillin sodium with procaine benzylpenicillin injection,Benzylpenicillin Sodium/Procaine Benzylpenicillin,,Injection,
30231,57380020,Phenoxymethylpenicillin 125mg/5ml Oral solution (Generics (UK) Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
30233,57873020,Phenoxymethylpenicillin 250mg/5ml oral solution (Mylan),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
31392,52796020,Phenoxymethylpenicillin 250mg/5ml oral solution (Actavis UK Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
31534,66603020,Penicillin V 250mg Tablet (Sovereign Medical Ltd),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
32185,49050020,Distaquaine v-k 125mg Tablet (Dista Products Ltd),Phenoxymethylpenicillin Potassium,125mg,Tablet,Oral
33237,65540020,Stabilin V-K 62.5mg/5ml Oral solution (Knoll Ltd),Phenoxymethylpenicillin Potassium,62.5mg/5ml,Oral Solution,Oral
34089,80573020,Phenoxymethylpenicillin 250mg capsule,Phenoxymethylpenicillin Potassium,250mg,Capsules,Oral
34098,50218020,Phenoxymethylpenicillin 250mg tablets (Actavis UK Ltd),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
34105,80570020,Phenoxymethylpenicillin 125mg tablet,Phenoxymethylpenicillin Potassium,125mg,Tablets,Oral
34112,52801020,Phenoxymethylpenicillin 250mg/5ml oral solution (A A H Pharmaceuticals Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
34113,50214020,Penicillin VK 250mg Tablet (Berk Pharmaceuticals Ltd),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
34156,60958020,Penicillin VK 250mg/5ml Oral solution (Lagap),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
34183,80574020,Phenoxymethylpenicillin 62.5mg/5ml oral solution,Phenoxymethylpenicillin Potassium,62.5mg/5ml,Syrup,Oral
34211,52795020,Phenoxymethylpenicillin 125mg/5ml oral solution (Actavis UK Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
34244,60957020,Penicillin VK 125mg/5ml Oral solution (Lagap),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
34254,52800020,Phenoxymethylpenicillin 125mg/5ml oral solution (A A H Pharmaceuticals Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
34255,50226020,Phenoxymethylpenicillin 250mg tablets (A A H Pharmaceuticals Ltd),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
34267,55500020,Phenoxymethylpenicillin 125mg/5ml oral solution (Teva UK Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
34346,55504020,Phenoxymethylpenicillin 250mg tablets (Teva UK Ltd),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
34363,58868020,Penicillin V 125mg/5ml Oral solution (Generics (UK) Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
34388,59017020,Penicillin VK 250mg Tablet (Generics (UK) Ltd),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
34424,55501020,Phenoxymethylpenicillin 250mg/5ml oral solution (Teva UK Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
34496,58867020,Penicillin V 250mg Tablet (Generics (UK) Ltd),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
34645,58869020,Penicillin V 250mg/5ml Oral solution (Generics (UK) Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
34646,56449020,Phenoxymethylpenicillin 250mg/5ml oral solution (IVAX Pharmaceuticals UK Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
34659,61824020,Phenoxymethylpenicillin 250mg/5ml oral solution (Kent Pharmaceuticals Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
34675,56448020,Phenoxymethylpenicillin 125mg/5ml oral solution (IVAX Pharmaceuticals UK Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
34756,57872020,Penicillin VK 125mg/5ml Oral solution (Generics (UK) Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
34895,50210020,Penicillin V 250mg/5ml Oral solution (Celltech Pharma Europe Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
34909,67931020,Penicillin VK 250mg Tablet (Sovereign Medical Ltd),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
34956,61823020,Phenoxymethylpenicillin 125mg/5ml oral solution (Kent Pharmaceuticals Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
36524,57653020,Apsin vk 125mg/5ml Oral solution (Approved Prescription Services Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
38071,70566020,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
38084,65519020,Penicillin G 300mg/vial injection,Benzylpenicillin Sodium,300mg/vial,Injection,
38110,54487020,Crystapen v 125mg/5ml Oral solution (Glaxo Laboratories Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
38241,71902020,Phenoxymethylpenicillin 250mg tablets (Mylan),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
40248,70410020,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Kent Pharmaceuticals Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
40906,71016020,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (Teva UK Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
41985,52174020,V-cil-k 62.5mg/5ml Oral solution (Eli Lilly and Company Ltd),Phenoxymethylpenicillin Potassium,62.5mg/5ml,Oral Solution,Oral
42211,71565020,Phenoxymethylpenicillin 250mg tablets (Almus Pharmaceuticals Ltd),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
42222,71899020,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Mylan),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
42512,57381020,Phenoxymethylpenicillin 250mg/5ml Oral solution (Generics (UK) Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
42671,69776020,Phenoxymethylpenicillin 250mg tablets (Ranbaxy (UK) Ltd),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
42995,65521020,Penicillin G 3g/vial injection,Benzylpenicillin Sodium,3g/vial,Injection,
43022,70562020,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
43555,52792020,Penicillin V 250mg/5ml Oral solution (C P Pharmaceuticals Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
43624,98606020,Crystapen 600mg powder for solution for injection vials (Thornton & Ross Ltd),Benzylpenicillin sodium,600mg,Powder for solution for injection,Intramuscular/Intravenous
43693,71019020,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Teva UK Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
43758,66715020,Phenoxymethylpenicillin 250mg tablets (Sandoz Ltd),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
43759,60956020,Penicillin VK 250mg Tablet (Lagap),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
44282,65524020,Penicillin G 6g/vial injection,Benzylpenicillin Sodium,6g/vial,Injection,
44354,74676020,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Sandoz Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
44692,53133020,Penicillin VK 250mg Tablet (C P Pharmaceuticals Ltd),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
45022,66600020,Penicillin V 125mg/5ml Oral solution (Sovereign Medical Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
45282,66712020,Phenoxymethylpenicillin 250mg/5ml oral solution (Sandoz Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
45527,50209020,Penicillin V 125mg/5ml Oral solution (Celltech Pharma Europe Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
45724,70826020,Penicillin V 250mg Tablet (Genesis Medical Ltd),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
45898,70407020,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (Kent Pharmaceuticals Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
46145,52791020,Penicillin V 125mg/5ml Oral solution (C P Pharmaceuticals Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
46217,98608020,Crystapen 1.2g powder for solution for injection vials (Thornton & Ross Ltd),Benzylpenicillin sodium,1.2gram,Powder for solution for injection,Intravenous
46424,72605020,Phenoxymethylpenicillin 250mg/5ml oral solution (Almus Pharmaceuticals Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
46902,74671020,Penicillin VK 125mg/5ml Oral solution (Sandoz Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
47241,72602020,Phenoxymethylpenicillin 125mg/5ml oral solution (Almus Pharmaceuticals Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
48140,93224020,Phenoxymethylpenicillin 250mg/5ml oral suspension,Phenoxymethylpenicillin Potassium,250mg/5ml,Oral Suspension,Oral
48207,93226020,Phenoxymethylpenicillin 333mg tablet,Phenoxymethylpenicillin Potassium,333mg,Tablets,Oral
48598,38543020,Phenoxymethylpenicillin 125mg/5ml oral solution (Medreich Plc),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
49064,38542020,Phenoxymethylpenicillin 250mg tablets (Medreich Plc),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
49166,5516020,Phenoxymethylpenicillin 250mg tablets (Alliance Healthcare (Distribution) Ltd),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
49167,5522020,Phenoxymethylpenicillin 250mg tablets (Phoenix Healthcare Distribution Ltd),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
49236,5515020,Phenoxymethylpenicillin 250mg tablets (Kent Pharmaceuticals Ltd),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
49467,5523020,Phenoxymethylpenicillin 125mg/5ml oral solution (Alliance Healthcare (Distribution) Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
49807,5521020,Phenoxymethylpenicillin 250mg tablets (Bristol Laboratories Ltd),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
49832,21346020,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (Phoenix Healthcare Distribution Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
50001,39850020,Phenoxymethylpenicillin 250mg/5ml oral solution (Crescent Pharma Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
50609,21350020,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Phoenix Healthcare Distribution Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
51038,44023020,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (Bristol Laboratories Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
51432,5527020,Phenoxymethylpenicillin 125mg/5ml oral solution (Sigma Pharmaceuticals Plc),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
51437,21345020,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
52738,44024020,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Bristol Laboratories Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
53329,39849020,Phenoxymethylpenicillin 125mg/5ml oral solution (Crescent Pharma Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
53467,5530020,Phenoxymethylpenicillin 250mg/5ml oral solution (Sigma Pharmaceuticals Plc),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
53652,5528020,Phenoxymethylpenicillin 250mg/5ml oral solution (Alliance Healthcare (Distribution) Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
53682,65527020,Penicillin G 12mg/vial intrathecal injection,Benzylpenicillin Sodium/Sodium Citrate,,,
53876,21349020,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
53888,93228020,Phenoxymethylpenicillin 666mg tablet,Phenoxymethylpenicillin Potassium,,,
54270,45481020,Phenoxymethylpenicillin 125mg/5ml oral solution (Ennogen Healthcare Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
54310,43853020,Phenoxymethylpenicillin 125mg/5ml oral solution (Bristol Laboratories Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
54455,57547020,Crystapen 6g/vial Injection (Glaxo Laboratories Ltd),Benzylpenicillin Sodium,6g/vial,Injection,
54552,43854020,Phenoxymethylpenicillin 250mg/5ml oral solution (Bristol Laboratories Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
54727,45482020,Phenoxymethylpenicillin 250mg/5ml oral solution (Ennogen Healthcare Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
54821,46899020,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Cubic Pharmaceuticals Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
55311,47402020,Phenoxymethylpenicillin 250mg tablets (Waymade Healthcare Plc),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
55829,80587020,Benzylpenicillin 12mg/vial intrathecal injection,Benzylpenicillin Sodium/Sodium Citrate,,,
56142,47765020,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (Waymade Healthcare Plc),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
56246,47767020,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Waymade Healthcare Plc),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
56251,47766020,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (Cubic Pharmaceuticals Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
56942,5518020,Phenoxymethylpenicillin 250mg tablets (The Boots Company Plc),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
57754,55713020,Penicillin VK 250mg Tablet (Nucross),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
58367,50223020,Penicillin VK 250mg Tablet (Celltech Pharma Europe Ltd),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
61102,23732021,Phenoxymethylpenicillin 125mg/5ml oral solution (DE Pharmaceuticals),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
62382,40849021,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (Almus Pharmaceuticals Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
62684,40850021,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Almus Pharmaceuticals Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
62685,31356021,Benzylpenicillin 600mg powder for solution for injection vials (Thornton & Ross Ltd),Benzylpenicillin sodium,600mg,Powder for solution for injection,Intramuscular/Intravenous
62945,31354021,Benzylpenicillin 1.2g powder for solution for injection vials (Thornton & Ross Ltd),Benzylpenicillin sodium,1.2gram,Powder for solution for injection,Intravenous
63415,48035021,Phenoxymethylpenicillin 250mg tablets (Crescent Pharma Ltd),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
64049,31357021,Benzylpenicillin 600mg powder for solution for injection vials (A A H Pharmaceuticals Ltd),Benzylpenicillin sodium,600mg,Powder for solution for injection,Intramuscular/Intravenous
64308,31355021,Benzylpenicillin 1.2g powder for solution for injection vials (A A H Pharmaceuticals Ltd),Benzylpenicillin sodium,1.2gram,Powder for solution for injection,Intravenous
64596,40670021,Benzylpenicillin 1.2g powder for solution for injection vials (Alliance Healthcare (Distribution) Ltd),Benzylpenicillin sodium,1.2gram,Powder for solution for injection,Intravenous
64805,52757021,Phenoxymethylpenicillin 250mg tablets (Sigma Pharmaceuticals Plc),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
65364,57346021,Phenoxymethylpenicillin 250mg tablets (Mawdsley-Brooks & Company Ltd),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
65561,57606021,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Mawdsley-Brooks & Company Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
65785,60744021,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (Actavis UK Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
66496,57347021,Phenoxymethylpenicillin 250mg/5ml oral solution (Mawdsley-Brooks & Company Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
67039,66029021,Phenoxymethylpenicillin 250mg tablets (Brown & Burk UK Ltd),Phenoxymethylpenicillin potassium,250mg,Tablet,Oral
68019,66163021,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (Brown & Burk UK Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
68127,60745021,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Actavis UK Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
68806,66164021,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Brown & Burk UK Ltd),Phenoxymethylpenicillin potassium,50mg/1ml,Oral solution,Oral
69193,66709020,Phenoxymethylpenicillin 125mg/5ml oral solution (Sandoz Ltd),Phenoxymethylpenicillin potassium,25mg/1ml,Oral solution,Oral
74288,28380020,Procaine benzylpenicillin 1.5g/3.4ml suspension for injection pre-filled syringes,Procaine benzylpenicillin,441mg/1ml,Suspension for injection,Intramuscular
60,59408020,Flucloxacillin 250mg capsules,Flucloxacillin sodium,250mg,Capsule,Oral
308,50280020,Magnapen 250mg/250mg capsules (Wockhardt UK Ltd),Flucloxacillin sodium/Ampicillin trihydrate,250mg + 250mg,Capsule,Oral
457,59410020,Flucloxacillin 125mg/5ml oral solution,Flucloxacillin sodium,25mg/1ml,Oral solution,Oral
579,59409020,Flucloxacillin 500mg capsules,Flucloxacillin sodium,500mg,Capsule,Oral
1001,59414020,Flucloxacillin 250mg/5ml oral solution,Flucloxacillin sodium,50mg/1ml,Oral solution,Oral
2299,70258020,Fluclomix 250 capsules (Ashbourne Pharmaceuticals Ltd),Flucloxacillin sodium,250mg,Capsule,Oral
2735,85599020,Flucloxin 125mg/5ml Liquid (OPD Pharm),Flucloxacillin sodium,25mg/1ml,Oral solution,Oral
2874,58820020,Magnapen syrup (Wockhardt UK Ltd),Flucloxacillin magnesium/Ampicillin trihydrate,25mg/1ml + 25mg/1ml,Oral suspension,Oral
3708,56427020,Floxapen 250mg Capsule (Beecham Research Laboratories),Flucloxacillin sodium,250mg,Capsule,Oral
4008,70259020,Fluclomix 500 capsules (Ashbourne Pharmaceuticals Ltd),Flucloxacillin sodium,500mg,Capsule,Oral
4074,85598020,Flucloxin 500mg Capsule (OPD Pharm),Flucloxacillin sodium,500mg,Capsule,Oral
7703,61544020,Cloxacillin 250mg capsules,Cloxacillin,250mg,Capsules,Oral
8282,61546020,Cloxacillin 125mg/5ml oral solution,Cloxacillin,125mg/5ml,Syrup,Oral
8468,56428020,Floxapen 500mg Capsule (Beecham Research Laboratories),Flucloxacillin sodium,500mg,Capsule,Oral
8633,50881020,Orbenin 500mg Capsule (Goldshield Pharmaceuticals Ltd),Cloxacillin,500mg,Capsule,Oral
8634,50880020,Orbenin 250mg Capsule (Goldshield Pharmaceuticals Ltd),Cloxacillin,250mg,Capsule,Oral
9800,85597020,Flucloxin 250mg Capsule (OPD Pharm),Flucloxacillin sodium,250mg,Capsule,Oral
10461,61545020,Cloxacillin 500mg capsules,Cloxacillin,500mg,Capsules,Oral
10814,61910020,Flucloxacillin 500mg powder for solution for injection vials,Flucloxacillin sodium,500mg,Powder for solution for injection,Intramuscular/Intravenous/Inhalation/Intraarticular/Intrapleural
13531,54564020,Magnapen 500mg powder for solution for injection vials (Wockhardt UK Ltd),Ampicillin sodium/Flucloxacillin sodium,250mg + 250mg,Powder for solution for injection,Intramuscular/Intravenous
15247,61909020,Flucloxacillin 250mg powder for solution for injection vials,Flucloxacillin sodium,250mg,Powder for solution for injection,Intramuscular/Intravenous/Inhalation/Intraarticular/Intrapleural
