prodcode,gemscriptcode,productname,drugsubstance,strength,formulation,route,bnfcode,bnfchapter
2159,54705020,AeroBec 50 Autohaler (Meda Pharmaceuticals Ltd),Beclometasone dipropionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
2160,74421020,Beclometasone 50micrograms/dose breath actuated inhaler,Beclometasone dipropionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
2229,68209020,Becodisks 100microgram Disc (Allen & Hanburys Ltd),Beclometasone Dipropionate,100microgram,Disc,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
2335,86874020,Qvar 100 inhaler (Teva UK Ltd),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
2600,74423020,Beclometasone 250micrograms/dose breath actuated inhaler,Beclometasone dipropionate,250microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
2892,57935020,Becloforte 400microgram disks (GlaxoSmithKline UK Ltd),Beclometasone dipropionate,400microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
2893,69623020,Beclometasone 200micrograms disc,Beclometasone Dipropionate,200micrograms,Disc,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
2992,56475020,Beclazone 50 inhaler (Teva UK Ltd),Beclometasone dipropionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
3018,69245020,Beclometasone 50micrograms/dose inhaler,Beclometasone dipropionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
3075,53712020,Becotide 400microgram Rotacaps (GlaxoSmithKline UK Ltd),Beclometasone dipropionate,400microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
3119,79444020,Becloforte integra 250microgram/actuation Inhaler with compact spacer (Glaxo Laboratories Ltd),Beclometasone Dipropionate,250microgram/actuation,Inhaler With Compact Spacer,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
3150,86871020,Beclometasone 100micrograms/actuation extrafine particle cfc free inhaler,Beclometasone Dipropionate,100micrograms/actuation,Inhaler Cfc-free,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
3220,86883020,Qvar 50 Autohaler (Teva UK Ltd),Beclometasone dipropionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
3363,57934020,Becloforte 400microgram disks with Diskhaler (GlaxoSmithKline UK Ltd),Beclometasone dipropionate,400microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
3546,86873020,Qvar 50 inhaler (Teva UK Ltd),Beclometasone dipropionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
3743,48110020,Filair 50 inhaler (Meda Pharmaceuticals Ltd),Beclometasone dipropionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
3927,48111020,Filair 100 inhaler (Meda Pharmaceuticals Ltd),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
3947,53710020,Becotide 100microgram Rotacaps (GlaxoSmithKline UK Ltd),Beclometasone dipropionate,100microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
3993,54871020,Filair Forte 250micrograms/dose inhaler (Meda Pharmaceuticals Ltd),Beclometasone dipropionate,250microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
4365,69622020,Beclometasone 100micrograms disc,Beclometasone Dipropionate,100micrograms,Disc,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
4413,86884020,Qvar 100 Autohaler (Teva UK Ltd),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
4499,54706020,Aerobec 250microgram/actuation Pressurised inhalation (Meda Pharmaceuticals Ltd),Beclometasone dipropionate,250microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
4601,85880020,Asmabec 100 Clickhaler (Focus Pharmaceuticals Ltd),Beclometasone dipropionate,100microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
4759,69249020,Beclometasone 100microgram inhalation powder capsules,Beclometasone dipropionate,100microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
4803,82721020,Beclazone 250microgram/actuation Inhalation powder (Actavis UK Ltd),Beclometasone dipropionate,250microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
5521,77000020,Beclometasone 200micrograms/dose dry powder inhaler,Beclometasone dipropionate,200microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
5522,79503020,Beclometasone 100micrograms/dose dry powder inhaler,Beclometasone dipropionate,100microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
5804,76999020,Beclometasone 250micrograms/dose dry powder inhaler,Beclometasone dipropionate,250microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
5992,79502020,Beclometasone 50micrograms/dose dry powder inhaler,Beclometasone dipropionate,50microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
7653,69251020,Beclometasone 400microgram inhalation powder capsules,Beclometasone dipropionate,400microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
7964,69254020,Beclometasone 50micrograms/ml nebuliser suspension,Beclometasone Dipropionate,50micrograms/ml,Nebuliser Suspension,Nebulised,3020000,Corticosteroids (for Respiratory Conditions)
8111,48310020,Becloforte vm 250microgram/actuation VM pack (Allen & Hanburys Ltd),Beclometasone dipropionate,250microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
9233,69250020,Beclometasone 200microgram inhalation powder capsules,Beclometasone dipropionate,200microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
9477,85796020,Asmabec 100microgram/actuation Spacehaler (Celltech Pharma Europe Ltd),Beclometasone Dipropionate,100microgram/actuation,Spacehaler,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
9571,81507020,Beclometasone 250micrograms/actuation vortex inhaler,Beclometasone Dipropionate,250micrograms/actuation,Vortex Metered Dose Inhaler,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
9577,85879020,Asmabec 50 Clickhaler (Focus Pharmaceuticals Ltd),Beclometasone dipropionate,50microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
9599,82719020,Beclazone 50microgram/actuation Inhalation powder (Actavis UK Ltd),Beclometasone dipropionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
9921,86879020,Beclometasone 100micrograms/dose breath actuated inhaler CFC free,Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
10090,86870020,Beclometasone 50micrograms/actuation extrafine particle cfc free inhaler,Beclometasone Dipropionate,50micrograms/actuation,Inhaler Cfc-free,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
11198,81505020,Beclometasons 50 micrograms/actuation vortex inhaler,Beclometasone Dipropionate,50micrograms/actuation,Vortex Metered Dose Inhaler,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
11497,77001020,Beclometasone 400micrograms/dose dry powder inhaler,Beclometasone dipropionate,400microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
11732,86878020,Beclometasone 50micrograms/dose breath actuated inhaler CFC free,Beclometasone dipropionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
13037,80128020,Pulvinal Beclometasone Dipropionate 200micrograms/dose dry powder inhaler (Chiesi Ltd),Beclometasone dipropionate,200microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
13290,91163020,Clenil Modulite 100micrograms/dose inhaler (Chiesi Ltd),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
13815,82720020,Beclazone 100microgram/actuation Inhalation powder (Actavis UK Ltd),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
14294,88500020,Qvar 50micrograms/dose Easi-Breathe inhaler (Teva UK Ltd),Beclometasone dipropionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
14321,91157020,Beclometasone 200micrograms/dose inhaler CFC free,Beclometasone dipropionate,200microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
14524,81511020,Bdp 250microgram/actuation Spacehaler (Celltech Pharma Europe Ltd),Beclometasone Dipropionate,250microgram/actuation,Spacehaler,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
14567,85881020,Asmabec 250 Clickhaler (Focus Pharmaceuticals Ltd),Beclometasone dipropionate,250microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
14590,85797020,Asmabec 250microgram/actuation Spacehaler (Celltech Pharma Europe Ltd),Beclometasone Dipropionate,250microgram/actuation,Spacehaler,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
14736,80129020,Pulvinal Beclometasone Dipropionate 400micrograms/dose dry powder inhaler (Chiesi Ltd),Beclometasone dipropionate,400microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
14757,80127020,Pulvinal Beclometasone Dipropionate 100micrograms/dose dry powder inhaler (Chiesi Ltd),Beclometasone dipropionate,100microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
15326,91155020,Beclometasone 100micrograms/dose inhaler CFC free,Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
15706,81506020,Beclometasone 100 micrograms/actuation vortex inhaler,Beclometasone Dipropionate,100micrograms/actuation,Vortex Metered Dose Inhaler,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
16148,91167020,Clenil Modulite 250micrograms/dose inhaler (Chiesi Ltd),Beclometasone dipropionate,250microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
16151,91165020,Clenil Modulite 200micrograms/dose inhaler (Chiesi Ltd),Beclometasone dipropionate,200microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
16158,91161020,Clenil Modulite 50micrograms/dose inhaler (Chiesi Ltd),Beclometasone dipropionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
16584,91153020,Beclometasone 50micrograms/dose inhaler CFC free,Beclometasone dipropionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
17654,89688020,Easyhaler Beclometasone 200micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd),Beclometasone dipropionate,200microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
18394,81509020,Bdp 50microgram/actuation Spacehaler (Celltech Pharma Europe Ltd),Beclometasone Dipropionate,50microgram/actuation,Spacehaler,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
18848,88502020,Qvar 100micrograms/dose Easi-Breathe inhaler (Teva UK Ltd),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
19031,81510020,Bdp 100microgram/actuation Spacehaler (Celltech Pharma Europe Ltd),Beclometasone Dipropionate,100microgram/actuation,Spacehaler,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
19389,85795020,Asmabec 50microgram/actuation Spacehaler (Celltech Pharma Europe Ltd),Beclometasone Dipropionate,50microgram/actuation,Spacehaler,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
19401,79501020,Beclometasone 250micrograms/actuation inhaler and compact spacer,Beclometasone Dipropionate,250micrograms/actuation,Inhaler With Compact Spacer,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
20825,84020020,Spacehaler BDP 250microgram/actuation Spacehaler (Celltech Pharma Europe Ltd),Beclometasone Dipropionate,250microgram/actuation,Spacehaler,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
21005,91159020,Beclometasone 250micrograms/dose inhaler CFC free,Beclometasone dipropionate,250microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
21482,58819020,Beclometasone 100micrograms/dose inhaler (Mylan),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
24898,84019020,Spacehaler BDP 100microgram/actuation Spacehaler (Celltech Pharma Europe Ltd),Beclometasone Dipropionate,100microgram/actuation,Spacehaler,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
25204,60177020,Beclometasone 100micrograms/dose inhaler (A A H Pharmaceuticals Ltd),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
26063,67076020,Beclometasone 100micrograms/dose inhaler (Teva UK Ltd),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
27679,61524020,Beclometasone 100microgram/actuation Pressurised inhalation (Approved Prescription Services Ltd),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
28073,61525020,Beclometasone 250microgram/actuation Pressurised inhalation (Approved Prescription Services Ltd),Beclometasone dipropionate,250microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
28640,59873020,Beclometasone 100microgram/actuation Inhalation powder (Actavis UK Ltd),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
28761,84018020,Spacehaler BDP 50microgram/actuation Spacehaler (Celltech Pharma Europe Ltd),Beclometasone Dipropionate,50microgram/actuation,Spacehaler,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
29325,58817020,Beclometasone 250micrograms/dose inhaler (Mylan),Beclometasone dipropionate,250microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
30210,67080020,Beclometasone 250micrograms/dose inhaler (Teva UK Ltd),Beclometasone dipropionate,250microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
30238,61523020,Beclometasone 50microgram/actuation Pressurised inhalation (Approved Prescription Services Ltd),Beclometasone dipropionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
31774,58818020,Beclometasone 50micrograms/dose inhaler (Mylan),Beclometasone dipropionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
32874,59872020,Beclometasone 50microgram/actuation Inhalation powder (Actavis UK Ltd),Beclometasone dipropionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
33258,60178020,Beclometasone 250micrograms/dose inhaler (A A H Pharmaceuticals Ltd),Beclometasone dipropionate,250microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
33849,63536020,Beclometasone 100microgram/actuation Inhalation powder (Neo Laboratories Ltd),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
34315,59874020,Beclometasone 250microgram/actuation Inhalation powder (Actavis UK Ltd),Beclometasone dipropionate,250microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
34428,63531020,Beclometasone 50microgram/actuation Inhalation powder (Neo Laboratories Ltd),Beclometasone dipropionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
34739,67073020,Beclometasone 50micrograms/dose inhaler (Teva UK Ltd),Beclometasone dipropionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
34794,65723020,Beclometasone 200micrograms/dose inhaler (A A H Pharmaceuticals Ltd),Beclometasone dipropionate,200microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
34859,63539020,Beclometasone 250microgram/actuation Inhalation powder (Neo Laboratories Ltd),Beclometasone dipropionate,250microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
34919,60176020,Beclometasone 50micrograms/dose inhaler (A A H Pharmaceuticals Ltd),Beclometasone dipropionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
35071,93053020,Becodisks 200microgram (GlaxoSmithKline UK Ltd),Beclometasone dipropionate,200microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
35106,93043020,Becodisks 100microgram with Diskhaler (GlaxoSmithKline UK Ltd),Beclometasone dipropionate,100microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
35107,93055020,Beclometasone 400microgram inhalation powder blisters with device,Beclometasone dipropionate,400microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
35113,93049020,Beclometasone 200microgram inhalation powder blisters,Beclometasone dipropionate,200microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
35118,93059020,Becodisks 400microgram with Diskhaler (GlaxoSmithKline UK Ltd),Beclometasone dipropionate,400microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
35288,93057020,Beclometasone 400microgram inhalation powder blisters,Beclometasone dipropionate,400microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
35293,93047020,Beclometasone 200microgram inhalation powder blisters with device,Beclometasone dipropionate,200microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
35299,93063020,Becodisks 400microgram (GlaxoSmithKline UK Ltd),Beclometasone dipropionate,400microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
35408,93045020,Becodisks 100microgram (GlaxoSmithKline UK Ltd),Beclometasone dipropionate,100microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
35430,93051020,Becodisks 200microgram with Diskhaler (GlaxoSmithKline UK Ltd),Beclometasone dipropionate,200microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
35580,93039020,Beclometasone 100microgram inhalation powder blisters with device,Beclometasone dipropionate,100microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
35652,93041020,Beclometasone 100microgram inhalation powder blisters,Beclometasone dipropionate,100microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
39200,95879020,AeroBec Forte 250 Autohaler (Meda Pharmaceuticals Ltd),Beclometasone dipropionate,250microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
41269,63923020,Beclometasone 400 Cyclocaps (Teva UK Ltd),Beclometasone dipropionate,400microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
41412,69256020,Beclometasone 400micrograms/actuation inhaler,Beclometasone Dipropionate,400micrograms/actuation,Aerosol Inhaler,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
46157,63918020,Beclometasone 200 Cyclocaps (Teva UK Ltd),Beclometasone dipropionate,200microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
47943,99655020,Beclazone easi-breathe (roi) 100microgram/actuation Pressurised inhalation (Ivax Pharmaceuticals Ireland),Beclometasone Dipropionate,100microgram/actuation,Pressurised Inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
48340,38603020,Clenil Modulite 100micrograms/dose inhaler (Mawdsley-Brooks & Company Ltd),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
48709,10734020,Qvar 100micrograms/dose Easi-Breathe inhaler (Sigma Pharmaceuticals Plc),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
49367,38602020,Clenil Modulite 50micrograms/dose inhaler (Mawdsley-Brooks & Company Ltd),Beclometasone dipropionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
49412,38762020,Clenil Modulite 200micrograms/dose inhaler (Mawdsley-Brooks & Company Ltd),Beclometasone dipropionate,200microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
50129,10737020,Qvar 100micrograms/dose Easi-Breathe inhaler (DE Pharmaceuticals),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
50287,10725020,Qvar 100 inhaler (DE Pharmaceuticals),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
51234,10727020,Qvar 100 inhaler (Waymade Healthcare Plc),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
51415,10720020,Qvar 50 inhaler (Mawdsley-Brooks & Company Ltd),Beclometasone dipropionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
51480,10736020,Qvar 100 Autohaler (DE Pharmaceuticals),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
51681,10726020,Qvar 100 inhaler (Sigma Pharmaceuticals Plc),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
52806,10732020,Qvar 100 Autohaler (Lexon (UK) Ltd),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
53480,10735020,Qvar 100 Autohaler (Stephar (U.K.) Ltd),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
54207,10721020,Qvar 50 inhaler (DE Pharmaceuticals),Beclometasone dipropionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
54399,10729020,Qvar 100 Autohaler (Sigma Pharmaceuticals Plc),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
56462,2818020,Becodisks 400microgram (Waymade Healthcare Plc),Beclometasone dipropionate,400microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
56471,2827020,Becodisks 200microgram (Mawdsley-Brooks & Company Ltd),Beclometasone dipropionate,200microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
