medcode,description
BBr6800,[M]Chronic myelomonocytic leukaemia
BBr6900,[M]Juvenile myelomonocytic leukaemia
BBr6z00,[M]Other myeloid leukaemia NOS
BBr7.00,[M]Basophilic leukaemias
BBr7000,[M]Basophilic leukaemia
BBr7z00,[M]Basophilic leukaemia NOS
BBr8.00,[M]Eosinophilic leukaemias
BBr8000,[M]Eosinophilic leukaemia
BBr8z00,[M]Eosinophilic leukaemia NOS
BBr9.00,[M]Monocytic leukaemias
BBr9000,[M]Monocytic leukaemia NOS
BBr9011,[M]Histiocytic leukaemia
BBr9012,[M]Schilling-type monocytic leukaemia
BBr9100,[M]Acute monocytic leukaemia
BBr9200,[M]Subacute monocytic leukaemia
BBr9300,[M]Chronic monocytic leukaemia
BBr9400,[M]Aleukaemic monocytic leukaemia
BBr9z00,[M]Other monocytic leukaemia NOS
BBrA.00,[M]Miscellaneous leukaemias
BBrA000,[M]Mast cell leukaemia
BBrA100,[M]Megakaryocytic leukaemia
BBrA111,[M]Thrombocytic leukaemia
BBrA400,[M]Hairy cell leukaemia
BBrA500,[M]Acute megakaryoblastic leukaemia
BBrAz00,[M]Miscellaneous leukaemia NOS
BBrz.00,[M]Leukaemia NOS
ByuD500,[X]Other lymphoid leukaemia
ByuD600,[X]Other myeloid leukaemia
ByuD700,[X]Other monocytic leukaemia
ByuD800,[X]Other specified leukaemias
ByuD900,[X]Other leukaemia of unspecified cell type
D21y100,Infantile pseudoleukaemia
BBr4011,[M]Erythraemic myelosis
BBr4100,[M]Acute erythraemia
BBr4111,[M]Di Guglielmo's disease
BBr4200,[M]Chronic erythraemia
BBr6012,[M]Myelosis NOS
BBrA200,[M]Megakaryocytic myelosis
BBrA300,[M]Myeloid sarcoma
BBrA311,[M]Chloroma
BBrA312,[M]Granulocytic sarcoma
BBrA600,[M]Acute panmyelosis
BBrA700,[M]Acute myelofibrosis
