Code,Description
H05z.12,Viral upper respiratory tract infection NOS
H12..00,Chronic pharyngitis and nasopharyngitis
H121.00,Chronic pharyngitis
H121.11,Sore throat - chronic
H121000,Simple chronic pharyngitis
H121600,Chronic follicular pharyngitis
H121z00,Chronic pharyngitis NOS
H122.00,Chronic nasopharyngitis
H12z.00,Chronic pharyngitis and nasopharyngitis NOS
H13..00,Chronic sinusitis
H13..11,Chronic rhinosinusitis
H130.00,Chronic maxillary sinusitis
H130.11,Antritis - chronic
H130.12,Maxillary sinusitis
H131.00,Chronic frontal sinusitis
H131.11,Frontal sinusitis
H132.00,Chronic ethmoidal sinusitis
H133.00,Chronic sphenoidal sinusitis
H134.00,Fistula of nasal sinus
H135.00,Recurrent sinusitis
H13y.00,Other chronic sinusitis
H13y000,Chronic pansinusitis
H13y100,Pansinusitis
H13yz00,Other chronic sinusitis NOS
H13z.00,Chronic sinusitis NOS
H140.00,Chronic tonsillitis
H140.11,Chronic adenoiditis
H143.00,Chronic adenotonsillitis
H14y400,Tonsil ulcer
H14y500,Caseous tonsillitis
H14y600,Lingular tonsillitis
H15..00,Peritonsillar abscess - quinsy
H15..11,Quinsy
H16..00,Chronic laryngitis and laryngotracheitis
H160.00,Chronic laryngitis
H160000,Chronic simple laryngitis
H160100,Chronic catarrhal laryngitis
H160200,Chronic hypertrophic laryngitis
H160300,Chronic atrophic laryngitis
H160500,Congested larynx
H160z00,Chronic laryngitis NOS
H161.00,Chronic laryngotracheitis
H16z.00,Chronic laryngitis NOS
H1y1z14,Nasal infection
H1y2200,Parapharyngeal abscess
H1y2300,Retropharyngeal abscess
H1y2600,Pharynx or nasopharynx abscess
H27..00,Influenza
H271000,Influenza with laryngitis
H271100,Influenza with pharyngitis
H27z.00,Influenza NOS
H27z.11,Flu like illness
H27z.12,Influenza like illness
H29..00,Avian influenza
H2A..00,Influenza due to Influenza A virus subtype H1N1
H2A..11,Influenza A (H1N1) swine flu
Hyu0.00,[X]Acute upper respiratory infections
Hyu0000,[X]Other acute sinusitis
Hyu0100,[X]Acute pharyngitis due to other specified organisms
Hyu0200,[X]Acute tonsillitis due to other specified organisms
Hyu0400,"[X]Flu+oth respiratory manifestations,'flu virus identified"
Hyu0500,"[X]Influenza+other manifestations,influenza virus identified"
Hyu0600,"[X]Influenza+oth respiratory manifestatns,virus not identifd"
Hyu0700,"[X]Influenza+other manifestations, virus not identified"
Hyu0300,[X]Other acute upper respiratory infections/multiple sites
Hyu2200,[X]Other chronic sinusitis
Hyu2800,[X]Other abscess of pharynx
R041.00,[D]Throat pain
R041.11,[D]Throat discomfort
R153200,[D]Positive culture findings in throat
