prodcode,gemscriptcode,productname,drugsubstance,strength,formulation,route
50485,9047020,Eumovate 0.05% cream (Sigma Pharmaceuticals Plc),Clobetasone butyrate,500microgram/1gram,Cream,Cutaneous
57787,16448021,Audavate RD 0.025% ointment (Auden McKenzie (Pharma Division) Ltd),Betamethasone valerate,250microgram/1gram,Ointment,Cutaneous
59985,16798021,Clobavate 0.05% ointment (Teva UK Ltd),Clobetasone butyrate,500microgram/1gram,Ointment,Cutaneous
60189,16447021,Audavate RD 0.025% cream (Auden McKenzie (Pharma Division) Ltd),Betamethasone valerate,250microgram/1gram,Cream,Cutaneous
70408,70433021,Fludroxycortide 4micrograms/square cm tape 7.5cm (Typharm Ltd),Fludroxycortide,4microgram/1square cm,Impregnated dressing,Cutaneous
2116,58637020,Calmurid HC cream (Galderma (UK) Ltd),Hydrocortisone/Urea/Lactic acid,10mg/1gram + 100mg/1gram + 50mg/1gram,Cream,Cutaneous
63645,11464020,Generic Calmurid HC cream,Hydrocortisone/Urea/Lactic acid,10mg/1gram + 100mg/1gram + 50mg/1gram,Cream,Cutaneous
4604,62318020,Stiedex LPN 0.05% Cream (Stiefel Laboratories (UK) Ltd),Neomycin/Desoximetasone,0.05%,Cream,Topical
7607,49756020,Haelan -c Cream (Dista Products Ltd),Fludroxycortide/Clioquinol,,Cream,Topical
7723,61954020,Fludroxycortide with clioquinol Cream,Fludroxycortide/Clioquinol,,Cream,Topical
8269,49757020,Haelan -c Ointment (Dista Products Ltd),Fludroxycortide/Clioquinol,,Ointment,Topical
18322,61955020,Fludroxycortide with clioquinol Ointment,Fludroxycortide/Clioquinol,,Ointment,Topical
47359,61425020,Clioquinol with Fludroxycortide cream,Fludroxycortide/Clioquinol,,Cream,Topical
1881,52022020,Trimovate Ointment (Glaxo Laboratories Ltd),Nystatin/Clobetasone Butyrate/Oxytetracycline Calcium,,Ointment,Topical
4656,71555020,Clobetasone butyrate with oxytetracycline and nystatin cream,Nystatin/Clobetasone Butyrate/Oxytetracycline Calcium,,Cream,Topical
3124,61946020,Fludroxycortide 0.0125% cream,Fludroxycortide,125microgram/1gram,Cream,Cutaneous
3507,57594020,Modrasone 0.05%w/w Cream (Dominion Pharma),Alclometasone dipropionate,500microgram/1gram,Cream,Cutaneous
3589,52906020,Ultradil plain Ointment (Schering Health Care Ltd),Fluocortolone/Fluocortolone Caproate,,Ointment,Topical
3592,52907020,Ultradil plain Cream (Schering Health Care Ltd),Fluocortolone Pivalate/Fluocortolone Caproate,,Cream,Topical
3662,49752020,Haelan 0.0125% ointment (Typharm Ltd),Fludroxycortide,125microgram/1gram,Ointment,Cutaneous
3849,49751020,Haelan 0.0125% cream (Typharm Ltd),Fludroxycortide,125microgram/1gram,Cream,Cutaneous
4486,52082020,Ultralanum Plain ointment (Meadow Laboratories Ltd),Fluocortolone/Fluocortolone hexanoate,2.5mg/1gram + 2.5mg/1gram,Ointment,Cutaneous
4562,57598020,Modrasone 0.05%w/w Ointment (Dominion Pharma),Alclometasone dipropionate,500microgram/1gram,Ointment,Cutaneous
5272,52515020,Haelan 4micrograms/square cm tape 7.5cm (Typharm Ltd),Fludroxycortide,4microgram/1square cm,Impregnated dressing,Cutaneous
6194,80689020,Modrasone 0.05% cream (Teva UK Ltd),Alclometasone dipropionate,500microgram/1gram,Cream,Cutaneous
6499,78031020,Modrasone 0.05% ointment (Teva UK Ltd),Alclometasone dipropionate,500microgram/1gram,Ointment,Cutaneous
6841,67706020,Urea with hydrocortisone and lactic acid Cream,Lactic Acid/Urea/Hydrocortisone,,Cream,Topical
8319,61948020,Fludroxycortide 0.0125% ointment,Fludroxycortide,125microgram/1gram,Ointment,Cutaneous
8567,60046020,Alclometasone 0.05% ointment,Alclometasone dipropionate,500microgram/1gram,Ointment,Cutaneous
10479,63378020,Sential HC Cream (Galderma (UK) Ltd),Urea/Hydrocortisone,,Cream,Topical
10824,52911020,Ultralanum Plain cream (Meadow Laboratories Ltd),Fluocortolone hexanoate/Fluocortolone pivalate,2.5mg/1gram + 2.5mg/1gram,Cream,Cutaneous
12351,61947020,Fludroxycortide 0.05% Cream,Fludroxycortide,0.05%,Cream,Topical
13249,61991020,Fluocortolone hexanoate 0.25% / Fluocortolone pivalate 0.25% cream,Fluocortolone hexanoate/Fluocortolone pivalate,2.5mg/1gram + 2.5mg/1gram,Cream,Cutaneous
18393,61995020,Fluocortolone 0.25% / Fluocortolone hexanoate 0.25% ointment,Fluocortolone/Fluocortolone hexanoate,2.5mg/1gram + 2.5mg/1gram,Ointment,Cutaneous
18691,49763020,Haelan -x 0.05% Ointment (Dista Products Ltd),Fludroxycortide,0.05%,Ointment,Topical
21448,49762020,Haelan -x 0.05% Cream (Dista Products Ltd),Fludroxycortide,0.05%,Cream,Topical
22807,61990020,Fluocortolone 0.1% Cream,Fluocortolone Pivalate/Fluocortolone Caproate,0.10%,Cream,Topical
22913,63476020,Hydrocortisone with urea and lactic acid Cream,Lactic Acid/Urea/Hydrocortisone,,Cream,Topical
24849,61951020,Fludroxycortide 0.05% Ointment,Fludroxycortide,0.05%,Ointment,Topical
36530,52085020,Ultralanum Ointment (Schering Health Care Ltd),Fluocortolone/Fluocortolone hexanoate,2.5mg/1gram + 2.5mg/1gram,Ointment,Cutaneous
52789,9045020,Eumovate 0.05% cream (Waymade Healthcare Plc),Clobetasone butyrate,500microgram/1gram,Cream,Cutaneous
60836,15716021,Betamethasone valerate 0.025% ointment (A A H Pharmaceuticals Ltd),Betamethasone valerate,250microgram/1gram,Ointment,Cutaneous
61533,17227021,Clobetasone 0.05% ointment (A A H Pharmaceuticals Ltd),Clobetasone butyrate,500microgram/1gram,Ointment,Cutaneous
61772,15715021,Betamethasone valerate 0.025% cream (A A H Pharmaceuticals Ltd),Betamethasone valerate,250microgram/1gram,Cream,Cutaneous
65982,9048020,Eumovate 0.05% ointment (Waymade Healthcare Plc),Clobetasone butyrate,500microgram/1gram,Ointment,Cutaneous
72180,9049020,Eumovate 0.05% ointment (Lexon (UK) Ltd),Clobetasone butyrate,500microgram/1gram,Ointment,Cutaneous
72489,9041020,Eumovate 0.05% cream (Dowelhurst Ltd),Clobetasone butyrate,500microgram/1gram,Cream,Cutaneous
74030,60165021,Coal tar 5% in Betamethasone valerate 0.025% ointment,Betamethasone valerate/Coal tar,237.5microgram/1gram + 50mg/1gram,Ointment,Route of administration not applicable
52895,37951020,Coal tar solution 5% / Betamethasone valerate 0.025% ointment 5% in White soft paraffin,Betamethasone valerate/Coal tar solution,12.5microgram/1gram + 50mg/1gram,Ointment,Route of administration not applicable
55386,36088020,Coal tar solution 5% in Betamethasone valerate 0.025% ointment,Betamethasone valerate/Coal tar solution,237.5microgram/1gram + 50mg/1gram,Ointment,Route of administration not applicable
62454,37952020,Coal tar solution 5% / Betamethasone valerate 0.025% ointment 5% in White soft paraffin (Special Order),Betamethasone valerate/Coal tar solution,12.5microgram/1gram + 50mg/1gram,Ointment,Route of administration not applicable
63860,36080020,Coal tar solution 15% in Betamethasone valerate 0.025% ointment,Betamethasone valerate/Coal tar solution,212.5microgram/1gram + 150mg/1gram,Ointment,Route of administration not applicable
64294,36064020,Coal tar solution 10% in Betamethasone valerate 0.025% ointment,Betamethasone valerate/Coal tar solution,225microgram/1gram + 100mg/1gram,Ointment,Route of administration not applicable
66605,36089020,Coal tar solution 5% in Betamethasone valerate 0.025% ointment (Drug Tariff Special Order),Betamethasone valerate/Coal tar solution,237.5microgram/1gram + 50mg/1gram,Ointment,Route of administration not applicable
71902,60229021,Coal tar solution 5% in Betamethasone valerate 0.025% cream,Betamethasone valerate/Coal tar solution,237.5microgram/1gram + 50mg/1gram,Cream,Route of administration not applicable
72922,26688021,Clioquinol 3% / Coal Tar 3% in Betamethasone valerate 0.025% ointment,Clioquinol/Coal tar/Betamethasone valerate,30mg/1gram + 30mg/1gram + 235microgram/1gram,Ointment,Cutaneous
61858,36142020,Coal tar solution 5% in Clobetasone 0.05% cream,Clobetasone butyrate/Coal tar solution,475microgram/1gram + 50mg/1gram,Cream,Route of administration not applicable
1389,52021020,Trimovate cream (Ennogen Healthcare Ltd),Clobetasone butyrate/Oxytetracycline calcium/Nystatin,500microgram/1gram + 30mg/1gram + 100000unit/1gram,Cream,Cutaneous
56464,21048020,Clobetasone 0.05% / Oxytetracycline 3% / Nystatin 100,000units/g cream,Clobetasone butyrate/Oxytetracycline calcium/Nystatin,500microgram/1gram + 30mg/1gram + 100000unit/1gram,Cream,Cutaneous
74073,17168021,Coal tar solution 5% / Salicylic acid 3% in Clobetasone 0.05% ointment,Clobetasone butyrate/Salicylic acid/Coal tar solution,460microgram/1gram + 30mg/1gram + 50mg/1gram,Ointment,Cutaneous
66275,21653021,Clobetasone 0.05% ointment 50% in Calamine and Coal tar ointment,Coal tar solution strong/Clobetasone butyrate/Zinc oxide/Calamine,12.5mg/1gram + 250microgram/1gram + 62.5mg/1gram + 62.5mg/1gram,Ointment,Cutaneous
60322,17166021,Coal tar solution 4% in Clobetasone 0.05% ointment,Coal tar solution/Clobetasone butyrate,40mg/1gram + 480microgram/1gram,Ointment,Cutaneous
55748,36060020,Coal tar 5% in Clobetasone 0.05% ointment,Coal tar/Clobetasone butyrate,50mg/1gram + 475microgram/1gram,Ointment,Route of administration not applicable
9007,6742007,BETNOVATE 25% + 3% COAL TAR IN WSP,,,,
2267,3033007,BETNOVATE 25% IN EMULSIFYING oint OIN,,,,
23648,!0695903,BETNOVATE 25% IN EMULSIFYING OINTMENT,,,,
3258,6536007,BETNOVATE 25% IN WSP TO 100% OIN,,,,
20664,!0697101,BETNOVATE RD 0.025%,,,,
8016,2842007,CLOBETASONE /NYSTATIN /OXTETRACYLINE .05 % CRE,,,,
20200,6124007,FLUOCORTOLONE ACETONIDE OIN,,,,
72955,2543007,FLUOCORTOLONE HEXANOATE/FLUOCORTOLONE PI .25 % CRE,,,,
20755,2544007,FLUOCORTOLONE HEXANOATE/FLUOCORTOLONE PI OIN,,,,
20201,2545007,FLUOCORTOLONE/FLUOCORTOLONE HEXANOATE OIN,,,,
31745,!6875105,SYNALAR 1 IN 4,,,,
19814,!6875109,SYNALAR 1:4,,,,
