H26..11,Chest infection - pnemonia due to unspecified organism,,,,,,
H260.00,Lobar pneumonia due to unspecified organism,,,,,,
H261.00,Basal pneumonia due to unspecified organism,,,,,,
H262.00,Postoperative pneumonia,,,,,,
H263.00,"Pneumonitis, unspecified",,,,,,
H270.00,Influenza with pneumonia,,,,,,
H270.11,Chest infection - influenza with pneumonia,,,,,,
H270000,Influenza with bronchopneumonia,,,,,,
H270100,"Influenza with pneumonia, influenza virus identified",,,,,,
H270z00,Influenza with pneumonia NOS,,,,,,
H28..00,Atypical pneumonia,,,,,,
H2y..00,Other specified pneumonia or influenza,,,,,,
H2z..00,Pneumonia or influenza NOS,,,,,,
H2B..00,Community acquired pneumonia,,,,,,
H2C..00,Hospital acquired pneumonia,,,,,,
H2F0.00,Inflnza wth pmn due sesnl vir,,,,,,
H30..00,Bronchitis unspecified,,,,,,
H30..11,Chest infection - unspecified bronchitis,,,,,,
H300.00,Tracheobronchitis NOS,,,,,,
H301.00,Laryngotracheobronchitis,,,,,,
H30z.00,Bronchitis NOS,,,,,,
H501400,Purulent pleurisy,,,,,,
H51..00,Pleurisy,,,,,,
H510.00,Pleurisy without effusion or active tuberculosis,,,,,,
H510300,Acute dry pleurisy,,,,,,
H510400,Diaphragmatic pleurisy,,,,,,
H510500,Basal pleurisy,,,,,,
H510900,Pneumococcal pleurisy,,,,,,
H510A00,Staphylococcal pleurisy,,,,,,
H510B00,Streptococcal pleurisy,,,,,,
H510z00,Pleurisy without effusion or active tuberculosis NOS,,,,,,
H511.00,Bacterial pleurisy with effusion,,,,,,
H511000,Pneumococcal pleurisy with effusion,,,,,,
H511100,Staphylococcal pleurisy with effusion,,,,,,
H511200,Streptococcal pleurisy with effusion,,,,,,
H511z00,Bacterial pleurisy with effusion NOS,,,,,,
H51y.00,Other pleural effusion excluding mention of tuberculosis,,,,,,
H530300,Abscess of lung with pneumonia,,,,,,
H564.00,Bronchiolitis obliterans organising pneumonia,,,,,,
H56y100,Interstitial pneumonia,,,,,,
Hyu0800,[X]Other viral pneumonia,,,,,,
Hyu0900,[X]Pneumonia due to other aerobic gram-negative bacteria,,,,,,
Hyu0A00,[X]Other bacterial pneumonia,,,,,,
Hyu0B00,[X]Pneumonia due to other specified infectious organisms,,,,,,
Hyu0C00,[X]Pneumonia in bacterial diseases classified elsewhere,,,,,,
Hyu0D00,[X]Pneumonia in viral diseases classified elsewhere,,,,,,
Hyu0H00,"[X]Other pneumonia, organism unspecified",,,,,,
Hyu1.00,[X]Other acute lower respiratory infections,,,,,,
Hyu1000,[X]Acute bronchitis due to other specified organisms,,,,,,
