DrugCode,Chapter,Description
96554989,05.01.01.01,Phenoxymethylpenicillin 250mg/5ml oral solution
96554990,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
96556990,05.01.01.01,Phenoxymethylpenicillin 250mg tablets
96757988,05.01.01.01,Phenoxymethylpenicillin 250mg/5ml oral solution
96757989,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
96757990,05.01.01.01,Phenoxymethylpenicillin 250mg tablets
97110997,05.01.01.01,Phenoxymethylpenicillin 250mg tablets
97110998,05.01.01.01,Penicillin v 125mg tablet
97208990,05.01.01.01,Phenoxymethylpenicillin 250mg tablets
97242988,05.01.01.01,Phenoxymethylpenicillin 250mg/5ml oral solution
97242989,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
97242990,05.01.01.01,Phenoxymethylpenicillin 250mg tablets
97266998,05.01.01.01,Benzathine penicillin 229mg/ml injection
97290997,05.01.01.01,Benzathine penicillin 115mg/ml drops
97290998,05.01.01.01,Benzathine benzylpenicillin 229mg/5ml suspension
97536989,05.01.01.01,Phenoxymethylpenicillin 250mg/5ml oral solution
97536990,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
97591997,05.01.01.01,Phenoxymethylpenicillin 250mg/5ml oral solution
97591998,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
97592998,05.01.01.01,Phenoxymethylpenicillin 250mg tablets
97615997,05.01.01.01,Benzylpenicillin - penicillin g 6g injection
97616997,05.01.01.01,Benzylpenicillin 1.2g powder for solution for injection vials
97616998,05.01.01.01,Benzylpenicillin 600mg powder for solution for injection vials
97646992,05.01.01.01,Ledercillin 250 mg tab
97656989,05.01.01.01,Phenoxymethylpenicillin 250mg/5ml oral solution
97656990,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
97701998,05.01.01.01,Phenoxymethylpenicillin 250mg tablets
97880989,05.01.01.01,Phenoxymethylpenicillin 250mg/5ml oral solution
97880990,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
97881992,05.01.01.01,Phenethicillin potassium 250 mg tab
97890992,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
97891992,05.01.01.01,Phenoxymethylpenicillin 125 mg cap
97969992,05.01.01.01,Penicillin v 500 mg cap
97970992,05.01.01.01,Penicillin 500 mg tab
98061990,05.01.01.01,Phenoxymethylpenicillin 250mg tablets
98113990,05.01.01.01,Phenoxymethylpenicillin 250mg tablets
98114989,05.01.01.01,Phenoxymethylpenicillin 250mg/5ml oral solution
98114990,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
98383998,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
98435990,05.01.01.01,Phenoxymethylpenicillin 250mg tablets
98825989,05.01.01.01,Phenoxymethylpenicillin 250mg/5ml oral solution
98825990,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
98826989,05.01.01.01,Phenoxymethylpenicillin 250mg/5ml oral solution
98826990,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
98827989,05.01.01.01,Phenoxymethylpenicillin 250mg/5ml oral solution
98827990,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
98986996,05.01.01.01,Phenoxymethylpenicillin 250mg/5ml oral solution
98986997,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
98986998,05.01.01.01,Phenoxymethylpenicillin 62.5mg/5ml syrup
98987996,05.01.01.01,Phenoxymethylpenicillin 250mg tablets
98987997,05.01.01.01,Phenoxymethylpenicillin 125mg tablets
98987998,05.01.01.01,Phenoxymethylpenicillin 250mg capsules
99018998,05.01.01.01,Benzylpenicillin sodium with benemethamine penicillin with procaine benzylpenicillin injection
99465990,05.01.01.01,Phenoxymethylpenicillin 250mg tablets
99467990,05.01.01.01,Phenoxymethylpenicillin 250mg tablets
99468990,05.01.01.01,Phenoxymethylpenicillin 250mg tablets
99469989,05.01.01.01,Phenoxymethylpenicillin 250mg/5ml oral solution
99736998,05.01.01.01,Phenoxymethylpenicillin 250mg/5ml oral solution
99737996,05.01.01.01,Phenoxymethylpenicillin 125mg/5ml oral solution
99737997,05.01.01.01,Phenoxymethylpenicillin 250mg tablets
99759992,05.01.01.01,Apsin vk 125 mg syr
99800998,05.01.01.01,Benzylpeniciilin 250mg tablets
93556998,05.01.01.01,Benzylpenicillin sodium with procaine benzylpenicillin injection
93564998,05.01.01.01,Procaine benzylpenicillin with benzylpenicillin sodium injection
94316992,05.01.01.01,Procaine penicillin/benzylpenicillin 3 gm inj
99886998,05.01.01.01,Procaine benzylpenicillin with benzylpenicillin sodium injection
52155979,05.01.01.02,Flucloxacillin 250mg/5ml oral solution sugar free
52156979,05.01.01.02,Flucloxacillin 125mg/5ml oral solution
52593979,05.01.01.02,Flucloxacillin 250mg/5ml oral solution sugar free
60147979,05.01.01.02,Flucloxacillin 250mg/5ml oral solution sugar free
60148979,05.01.01.02,Flucloxacillin 125mg/5ml oral solution
63141979,05.01.01.02,Flucloxacillin 125mg/5ml oral solution
82563978,05.01.01.02,Flucloxacillin 125mg/5ml oral solution
82592998,05.01.01.02,Flucloxacillin 125mg/5ml oral solution
82593998,05.01.01.02,Flucloxacillin 250mg/5ml oral solution sugar free
82662978,05.01.01.02,Flucloxacillin 125mg/5ml oral solution
82935998,05.01.01.02,Flucloxacillin 500mg capsules
82936998,05.01.01.02,Flucloxacillin 250mg capsules
86418998,05.01.01.02,Temocillin 1g powder for solution for injection vials
88548996,05.01.01.02,Flucloxacillin 125mg/5ml oral suspension
88548997,05.01.01.02,Flucloxacillin 500mg capsules
88548998,05.01.01.02,Flucloxacillin 250mg capsules
89520998,05.01.01.02,Flucloxacillin 250mg capsules
92239990,05.01.01.02,Flucloxacillin 125mg/5ml oral solution
92308990,05.01.01.02,Flucloxacillin 250mg/5ml oral solution sugar free
92309990,05.01.01.02,Flucloxacillin 125mg/5ml oral solution
92974997,05.01.01.02,Flucloxacillin 125mg/5ml oral solution
92974998,05.01.01.02,Flucloxacillin 500mg injection (powder for reconstitution)
93601997,05.01.01.02,Temocillin 1g powder for solution for injection vials
93602997,05.01.01.02,Temocillin 1g injection (powder for reconstitution)
94154990,05.01.01.02,Flucloxacillin 500mg capsules
94155990,05.01.01.02,Flucloxacillin 250mg capsules
94277997,05.01.01.02,Flucloxacillin 500mg capsules
94277998,05.01.01.02,Flucloxacillin 250mg capsules
94394992,05.01.01.02,Flucloxacillin 250mg capsules
94451979,05.01.01.02,Flucloxacillin 250mg/5ml oral solution
94453979,05.01.01.02,Flucloxacillin 250mg/5ml oral solution sugar free
94454979,05.01.01.02,Flucloxacillin 125mg/5ml oral solution
94455979,05.01.01.02,Flucloxacillin 125mg/5ml oral solution
94455990,05.01.01.02,Flucloxacillin 500mg capsules
94456979,05.01.01.02,Flucloxacillin 125mg/5ml oral solution
94457990,05.01.01.02,Flucloxacillin 250mg capsules
94458979,05.01.01.02,Flucloxacillin 125mg/5ml oral solution
94463979,05.01.01.02,Flucloxacillin 500mg capsules
94466979,05.01.01.02,Flucloxacillin 250mg capsules
95027992,05.01.01.02,Flucloxacillin 125 mg cap
95246990,05.01.01.02,Flucloxacillin 125mg/5ml oral solution
95604990,05.01.01.02,Flucloxacillin 250mg/5ml oral solution
95891992,05.01.01.02,Cloxacillin tab
96246992,05.01.01.02,Flucloxacillin 125mg/5ml oral solution
96371989,05.01.01.02,Flucloxacillin 500mg capsules
96371990,05.01.01.02,Flucloxacillin 250mg capsules
96428988,05.01.01.02,Flucloxacillin 125mg/5ml oral solution
96428989,05.01.01.02,Flucloxacillin 500mg capsules
96428990,05.01.01.02,Flucloxacillin 250mg capsules
96532997,05.01.01.02,Flucloxacillin 1g/50ml infusion bags
96532998,05.01.01.02,Flucloxacillin 500mg powder for solution for injection vials
96533996,05.01.01.02,Flucloxacillin 250mg powder for solution for injection vials
96533997,05.01.01.02,Flucloxacillin 500mg powder for solution for injection vials
96533998,05.01.01.02,Flucloxacillin 250mg powder for solution for injection vials
96620997,05.01.01.02,Cloxacillin 500mg/vial im injection
96621996,05.01.01.02,Cloxacillin 125mg/5ml oral solution
96621997,05.01.01.02,Cloxacillin 500mg capsules
96621998,05.01.01.02,Cloxacillin 250mg capsules
96659992,05.01.01.02,Flucloxacillin 1 gm cap
96780997,05.01.01.02,Flucloxacillin 500mg capsules
96780998,05.01.01.02,Flucloxacillin 250mg capsules
96865988,05.01.01.02,Flucloxacillin 125mg/5ml oral solution
96865989,05.01.01.02,Flucloxacillin 500mg capsules
96865990,05.01.01.02,Flucloxacillin 250mg capsules
96897990,05.01.01.02,Flucloxacillin 250mg/5ml oral solution
96942989,05.01.01.02,Flucloxacillin 500mg capsules
96942990,05.01.01.02,Flucloxacillin 250mg capsules
97036990,05.01.01.02,Flucloxacillin 250mg/5ml oral solution
97115998,05.01.01.02,Flucloxacillin 250mg/5ml oral solution
97116996,05.01.01.02,Flucloxacillin 125mg/5ml oral solution
97116997,05.01.01.02,Flucloxacillin 500mg capsules
97116998,05.01.01.02,Flucloxacillin 250mg capsules
97118989,05.01.01.02,Flucloxacillin 500mg capsules
97118990,05.01.01.02,Flucloxacillin 250mg capsules
97260989,05.01.01.02,Flucloxacillin 250mg/5ml oral solution
97260990,05.01.01.02,Flucloxacillin 125mg/5ml oral solution
97432997,05.01.01.02,Flucloxacillin 250mg/5ml oral suspension
97432998,05.01.01.02,Flucloxacillin 125mg/5ml oral solution
97553990,05.01.01.02,Flucloxacillin 125mg/5ml oral solution
97754988,05.01.01.02,Flucloxacillin 125mg/5ml oral solution
97754989,05.01.01.02,Flucloxacillin 500mg capsules
97754990,05.01.01.02,Flucloxacillin 250mg capsules
97881997,05.01.01.02,Flucloxacillin 250mg/5ml syrup
97881998,05.01.01.02,Flucloxacillin 125mg/5ml syrup
97882998,05.01.01.02,Flucloxacillin 1g powder for solution for injection vials
97883996,05.01.01.02,Flucloxacillin 500mg powder for solution for injection vials
97883997,05.01.01.02,Flucloxacillin 250mg powder for solution for injection vials
97883998,05.01.01.02,Flucloxacillin 500mg powder for solution for injection vials
97884996,05.01.01.02,Flucloxacillin 250mg powder for solution for injection vials
97884997,05.01.01.02,Flucloxacillin 500mg capsules
97884998,05.01.01.02,Flucloxacillin 250mg capsules
98168998,05.01.01.02,Flucloxacillin 250mg capsules
98354988,05.01.01.02,Flucloxacillin 125mg/5ml oral solution
98354989,05.01.01.02,Flucloxacillin 500mg capsules
98354990,05.01.01.02,Flucloxacillin 250mg capsules
98552989,05.01.01.02,Flucloxacillin 500mg capsules
98552990,05.01.01.02,Flucloxacillin 250mg capsules
98627989,05.01.01.02,Flucloxacillin 500mg capsules
98627990,05.01.01.02,Flucloxacillin 250mg capsules
98741997,05.01.01.02,Flucloxacillin 500mg capsules
98741998,05.01.01.02,Flucloxacillin 250mg capsules
99313996,05.01.01.02,Cloxacillin 125mg/5ml oral solution
99313997,05.01.01.02,Cloxacillin 500mg capsules
99313998,05.01.01.02,Cloxacillin 250mg capsules
99590988,05.01.01.02,Flucloxacillin 125mg/5ml oral solution
99590989,05.01.01.02,Flucloxacillin 500mg capsules
99590990,05.01.01.02,Flucloxacillin 250mg capsules
99591989,05.01.01.02,Flucloxacillin 500mg capsules
99592989,05.01.01.02,Flucloxacillin 500mg capsules
99592990,05.01.01.02,Flucloxacillin 250mg capsules
52579979,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
52581979,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
52582979,05.01.01.03,Amoxicillin 125mg/5ml oral suspension
61452979,05.01.01.03,Amoxicillin 500mg capsules
83265978,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
83268978,05.01.01.03,Amoxicillin 125mg/5ml oral suspension
83269978,05.01.01.03,Amoxicillin 125mg/5ml oral suspension sugar free
84355998,05.01.01.03,Ampicillin 250mg/5ml oral suspension
84356998,05.01.01.03,Ampicillin 125mg/5ml oral suspension
86675998,05.01.01.03,Ampicillin 250mg capsules
86777998,05.01.01.03,Ampicillin 500mg capsules
88549996,05.01.01.03,Ampicillin 125mg/5ml oral suspension
88549998,05.01.01.03,Ampicillin 250mg capsules
88556997,05.01.01.03,Amoxicillin 500mg capsules
88556998,05.01.01.03,Amoxicillin 250mg capsules
88557996,05.01.01.03,Amoxicillin 125mg/5ml sugar free suspension
88557997,05.01.01.03,Amoxicillin 250mg/5ml syrup
88557998,05.01.01.03,Amoxicillin 125mg/5ml syrup
89177998,05.01.01.03,Amoxicillin 250mg capsules
89889997,05.01.01.03,Amoxicillin 250mg/5ml sugar free suspension
89889998,05.01.01.03,Amoxicillin 125mg/5ml sugar free suspension
92455990,05.01.01.03,Amoxicillin 500mg capsules
92456990,05.01.01.03,Amoxicillin 250mg capsules
92973998,05.01.01.03,Ampicillin 250mg injection (powder for reconstitution)
93040990,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
93041990,05.01.01.03,Amoxicillin 125mg/5ml oral suspension sugar free
93253992,05.01.01.03,Amoxicillin 125mg/5ml oral suspension sugar free
93372996,05.01.01.03,Amoxicillin 125mg/5ml oral suspension sugar free
93372997,05.01.01.03,Amoxicillin 500mg capsules
93372998,05.01.01.03,Amoxicillin 250mg capsules
93375998,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
93377996,05.01.01.03,Amoxicillin 125mg/5ml oral suspension sugar free
93377997,05.01.01.03,Amoxicillin 500mg capsules
93377998,05.01.01.03,Amoxicillin 250mg capsules
93404998,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
93407996,05.01.01.03,Amoxicillin 125mg/5ml sugar free suspension
93407997,05.01.01.03,Amoxicillin 500mg capsules
93407998,05.01.01.03,Amoxicillin 250mg capsules
93446998,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
93465998,05.01.01.03,Amoxicillin 250mg capsules
93591990,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
93592990,05.01.01.03,Amoxicillin 125mg/5ml oral suspension sugar free
93686992,05.01.01.03,Amoxicillin 250mg capsules
94068992,05.01.01.03,Amoxicillin 500mg capsules
94069992,05.01.01.03,Amoxycillin 125 mg cap
94070990,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
94071990,05.01.01.03,Amoxicillin 125mg/5ml oral suspension
94073990,05.01.01.03,Amoxicillin 500mg capsules
94316979,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
94328979,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
94334979,05.01.01.03,Amoxicillin 125mg/5ml oral suspension
94338979,05.01.01.03,Amoxicillin 125mg/5ml oral suspension sugar free
94342979,05.01.01.03,Amoxicillin 125mg/5ml oral suspension sugar free
94343979,05.01.01.03,Amoxicillin 125mg/5ml oral suspension sugar free
94375979,05.01.01.03,Ampicillin 250mg capsules
94420979,05.01.01.03,Amoxicillin 500mg capsules
94421979,05.01.01.03,Amoxicillin 500mg capsules
94422979,05.01.01.03,Amoxicillin 500mg capsules
94423979,05.01.01.03,Amoxicillin 500mg capsules
94426979,05.01.01.03,Amoxicillin 500mg capsules
94434979,05.01.01.03,Amoxicillin 500mg capsules
94444979,05.01.01.03,Amoxicillin 250mg capsules
94519992,05.01.01.03,Ampicillin 125mg tablets
94641992,05.01.01.03,Ampicillin 500mg capsules
94642992,05.01.01.03,Ampicillin 250mg capsules
94643992,05.01.01.03,Ampilar 125 mg syr
94698998,05.01.01.03,Amoxicillin 250mg/5ml syrup
94699996,05.01.01.03,Amoxicillin 125mg/5ml oral suspension
94699997,05.01.01.03,Amoxicillin 500mg capsules
94699998,05.01.01.03,Amoxicillin 250mg capsules
94760992,05.01.01.03,Ciclacillin 125mg/5ml suspension
94792997,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
94792998,05.01.01.03,Amoxicillin 125mg/5ml oral suspension sugar free
94794997,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
94794998,05.01.01.03,Amoxicillin 125mg/5ml oral suspension
94945998,05.01.01.03,Amoxicillin 1g powder for solution for injection vials
95033997,05.01.01.03,Ampicillin 250mg injection
95033998,05.01.01.03,Ampicillin 500mg powder for solution for injection vials
95034998,05.01.01.03,Ampicillin 125mg/5ml paediatric oral suspension
95077997,05.01.01.03,Amoxicillin 750mg sugar free dispersible tablets
95077998,05.01.01.03,Amoxicillin 375mg sugar free dispersible tablets
95086996,05.01.01.03,Amoxicillin 125mg sugar free powder
95086997,05.01.01.03,Amoxicillin 750mg soluble tablets
95086998,05.01.01.03,Amoxicillin 375mg soluble tablets
95218997,05.01.01.03,Talampicillin 125mg/5ml syrup
95218998,05.01.01.03,Talampicillin 250mg tablets
95224990,05.01.01.03,Amoxicillin 500mg capsules
95225990,05.01.01.03,Amoxicillin 250mg capsules
95495996,05.01.01.03,Pivampicillin 175mg sachet
95495997,05.01.01.03,Pivampicillin 175mg/5ml oral solution
95495998,05.01.01.03,Pivampicillin 500mg tablet
95557997,05.01.01.03,Phenethicillin 125mg/5ml oral solution
95557998,05.01.01.03,Phenethicillin 250mg capsule
95811997,05.01.01.03,Mezlocillin 1g/vial injection
95811998,05.01.01.03,Mezlocillin 50mg/vial injection
96092992,05.01.01.03,Amoxycillin fiztab 125 mg tab
96156990,05.01.01.03,Amoxicillin 3g oral powder sachets sugar free
96239996,05.01.01.03,Amoxicillin 125mg/5ml oral suspension
96239997,05.01.01.03,Amoxicillin 500mg capsules
96239998,05.01.01.03,Amoxicillin 250mg capsules
96255998,05.01.01.03,Amoxicillin 250mg/5ml oral suspension
96256996,05.01.01.03,Amoxicillin 500mg sugar free chewable tablets
96256997,05.01.01.03,Amoxicillin 250mg sugar free chewable tablets
96256998,05.01.01.03,Amoxicillin 125mg sugar free chewable tablets
96306990,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
96307988,05.01.01.03,Amoxicillin 125mg/5ml oral suspension
96307989,05.01.01.03,Amoxicillin 500mg capsules
96307990,05.01.01.03,Amoxicillin 250mg capsules
96309997,05.01.01.03,Amoxicillin 500mg sugar free chewable tablets
96309998,05.01.01.03,Amoxicillin 250mg sugar free chewable tablets
96313996,05.01.01.03,Amoxicillin 125mg/5ml oral suspension
96313997,05.01.01.03,Amoxicillin 500mg capsules
96313998,05.01.01.03,Amoxicillin 250mg capsules
96365998,05.01.01.03,Amoxicillin 250mg/5ml oral suspension
96377990,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
96383988,05.01.01.03,Amoxicillin 125mg/5ml oral suspension
96383989,05.01.01.03,Amoxicillin 500mg capsules
96383990,05.01.01.03,Amoxicillin 250mg capsules
96477992,05.01.01.03,Talpen 250 mg syr
96478992,05.01.01.03,Talampicillin 250 mg syr
96582992,05.01.01.03,Ampicillin 125 mg tab
96815990,05.01.01.03,Ampicillin 125mg/5ml oral suspension
96822992,05.01.01.03,Amoxycillin fiztab 250 mg tab
96918998,05.01.01.03,Bacampicillin hydrochloride 400mg tablets
96919998,05.01.01.03,Bacampicillin hcl 400mg tablets
96926989,05.01.01.03,Ampicillin 500mg capsules
96928988,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
96928989,05.01.01.03,Amoxicillin 125mg/5ml oral suspension sugar free
96928990,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
96931988,05.01.01.03,Amoxicillin 125mg/5ml oral suspension
96931989,05.01.01.03,Amoxicillin 500mg capsules
96931990,05.01.01.03,Amoxicillin 250mg capsules
96943996,05.01.01.03,Amoxicillin 500mg/50ml infusion bags
96943997,05.01.01.03,Amoxicillin 250mg powder for solution for injection vials
96943998,05.01.01.03,Amoxicillin 3g oral powder sachets sugar free
96944992,05.01.01.03,Ampicillin 125 mg cap
96944996,05.01.01.03,Amoxicillin 750mg sugar free powder
96944997,05.01.01.03,Amoxicillin 125mg/1.25ml oral suspension paediatric
96944998,05.01.01.03,Amoxicillin 500mg dispersible tablets
96965990,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
97047990,05.01.01.03,Amoxicillin 500mg/50ml infusion bags
97050989,05.01.01.03,Amoxicillin 500mg capsules
97050990,05.01.01.03,Amoxicillin 250mg capsules
97129996,05.01.01.03,Ampicillin 250mg/5ml sugar free suspension
97129997,05.01.01.03,Ampicillin 125mg/5ml sugar free suspension
97129998,05.01.01.03,Ampicillin 250mg/5ml oral suspension
97130996,05.01.01.03,Ampicillin 125mg/5ml oral suspension
97130997,05.01.01.03,Ampicillin 500mg capsules
97130998,05.01.01.03,Ampicillin 250mg capsules
97131996,05.01.01.03,Amoxicillin 125mg sugar free chewable tablets
97131997,05.01.01.03,Amoxicillin 500mg capsules
97131998,05.01.01.03,Amoxicillin 250mg capsules
97133988,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
97133989,05.01.01.03,Amoxicillin 125mg/5ml oral suspension sugar free
97133990,05.01.01.03,Amoxicillin 250mg capsules
97788989,05.01.01.03,Ampicillin 500mg capsules
97789990,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
97790988,05.01.01.03,Amoxicillin 125mg/5ml oral suspension sugar free
97790989,05.01.01.03,Amoxicillin 3g oral powder sachets sugar free
97790990,05.01.01.03,Amoxicillin 250mg capsules
97808997,05.01.01.03,Amoxicillin 125mg/5ml syrup
97808998,05.01.01.03,Amoxicillin 250mg capsules
97868996,05.01.01.03,Amoxicillin 750mg sugar free powder
97868997,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
97868998,05.01.01.03,Amoxicillin 125mg/5ml oral suspension sugar free
97918992,05.01.01.03,Pivampicillin 175mg/sachet granules
97956990,05.01.01.03,Amoxicillin 3g oral powder sachets sugar free
